# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
DQ514876.1.1765	0.0	0.0	4.0	0.0	0.0	0.0	1.0	31.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Thalassiosira; s__Thalassiosira_minima
KJ762869.1.1798	16.0	3.0	0.0	10.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodiniphycidae; g__Gyrodinium
JQ420115.1.1783	5.0	23.0	0.0	0.0	0.0	1.0	0.0	1.0	d__Eukaryota; p__Chlorophyta; c__Prasinophycae; o__Prasinophycae; f__Prasinophycae; g__Prasinophycae; s__phytoplankton_environmental
KJ763689.1.1799	13.0	20.0	2.0	0.0	0.0	0.0	0.0	5.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote
KU743766.1.1842	0.0	0.0	0.0	0.0	0.0	10.0	0.0	36.0	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Cryptomonadales; f__Cryptomonadales; g__Cryptomonadales; s__uncultured_eukaryote
KF130564.1.1762	6.0	5.0	3.0	1.0	24.0	0.0	0.0	0.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__OLI51059; s__uncultured_eukaryote
KJ760584.1.1798	5.0	20.0	2.0	0.0	1.0	0.0	0.0	4.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_MALV-2D_Guillou_13_23
AM712618.1.1803	0.0	0.0	14.0	0.0	0.0	1.0	0.0	20.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Cyclotella; s__Cyclotella_choctawhatcheeana
U04235.1	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	d__Eukaryota; p__Fungi; c__Fungi; o__Dikarya(Ascomycota); f__Dothideomycetes
KC582906.1.1788	0.0	1.0	0.0	0.0	2.0	0.0	0.0	22.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_alveolate
KX532505.1.1342	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Dinophyceae; f__Dinophyceae; g__Azadinium; s__uncultured_marine
DQ386756.1.1535	9.0	31.0	1.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales
JF790984.1.1777	2.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Pyrenomonadales; f__Chroomonadaceae; g__Hemiselmis; s__Hemiselmis_rufescens
